userPostID,userReplyID,type,actor,time,class
0,,,read,casssssssssie,0:01,
0,,,read,M.Kapadia92,0:02,
0,,,read,localewis,0:02,
0,,,read,livelaughlove,0:06,
0,,,read,coachmatthews,0:15,
0,,,read,ancho-n-cayenne,0:15,
0,,,read,localewis,0:20,
0,,,read,tastyrobot,0:23,
0,,,read,lee.alexa,0:25,
0,,,read,_aikira_,0:25,
0,,,read,artisanalways,0:35,
0,,,like,casssssssssie,0:01,
0,,,like,M.Kapadia92,0:02,
0,,,like,localewis,0:02,
0,,,like,livelaughlove,0:06,
0,,,like,coachmatthews,0:15,
1,,,read,M.Kapadia92,0:01,
1,,,read,coachmatthews,0:01,
1,,,read,ancho-n-cayenne,0:04,
1,,,read,localewis,0:05,
1,,,read,casssssssssie,0:17,
1,,,read,lee.alexa,0:19,
1,,,read,john73,0:25,
1,,,read,Jcole9,0:16,
1,,,read,kittycatbakes,0:30,
1,,,read,bblueberryy,0:10,
1,,,like,casssssssssie,0:17,
1,,,like,lee.alexa,0:19,
1,,,like,john73,0:2,
